Event Date,Type,Event,Location,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
04/14/2018,RNY Fair (FAIR),Ready NY Fair: Foundation for Fighting Blindness Vision Walk,Central Park Band Shell,E 72nd & 5th Ave,Manhattan,,,,,,,,,
04/14/2018,RNY Fair (FAIR),Bronx Preparedness Weekend: Health Fair,P.S./I.S. 224,345 Brook Avenue,Bronx,10454,40.81004,-73.917792,201,8,41,2000391,2022860036,Mott Haven-Port Morris
04/14/2018,RNY Fair (FAIR),Bronx Fire Safety and Preparedness Weekend: School Fair,PS 11,1257 Ogden Avenue,Bronx,10452,40.839378,-73.925714,204,16,201,2003519,2025290081,Highbridge
04/14/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Weekend,Grand Concourse SDA Temple,1275 Grand Concourse,Bronx,10452,40.836092,-73.916181,204,16,22102,2002861,2024660026,West Concourse
04/14/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,"Nazareth Housing, Inc.","406 E 184 St, Office 1",Bronx,10458,40.856646,-73.894993,206,15,38302,2011182,2030310007,Fordham South
04/13/2018,RNY Fair (FAIR),11th Annual CCVIP Baruch College Employment and Visual Impairment Conference,Baruch College,55 Lexington Ave,Manhattan,10010,40.740596,-73.983938,106,2,68,1086514,1008800024,Gramercy
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,R.A.I.N. Boston Secor  Senior Center,3540 Bivona St,Bronx,10475,40.883026,-73.833227,212,12,46202,2093877,2052630070,Co-op City
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,Dr. Martin Luther King Jr. Health Center,1265 Franklin Avenue,Bronx,10456,40.831025,-73.902698,203,16,149,2004246,2026120007,Morrisania-Melrose
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,Independence Care System,"400 East Fordham Rd., 10th Floor",Bronx,10458,40.8609,-73.891931,206,15,38302,2116415,2030337501,Fordham South
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,DaVita,3525 White Plains Rd,Bronx,10467,40.878057,-73.866099,212,12,378,2124612,2046430009,Williamsbridge-Olinville
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,Fordham Hill Owners,2455 Sedgwick Ave,Bronx,10468,40.86479,-73.908809,207,14,269,2099201,2032360175,Kingsbridge Heights
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,CenterLight Health Care,2401 White Plains Road,Bronx,10467,40.861627,-73.867488,211,15,33202,2051261,2044260001,Bronxdale
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Weekend,CenterLight Health Care,668 Allerton Ave,Bronx,10467,40.865396,-73.868579,211,15,33202,2051291,2044280034,Bronxdale
04/13/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Weekend,"The Institues of Applied Human Dynamics, inc",2213 E. Tremont avenue,Bronx,10462,40.84208,-73.856829,211,13,238,2043258,2040420247,Van Nest-Morris Park-Westchester Square
04/13/2018,RNY General Presentation (GEN),Bronx Fire Preparedness and Safety Weekend,Hope Center for Nursing Care,1401 University Ave,Bronx,10452,40.842924,-73.925378,204,16,201,2086433,2025330092,Highbridge
04/12/2018,RNY for Kids (KIDS),Ready Girl at Pre-K Center,District 24 Pre- K Center at St. Theresa's,50-15 44th St,Queens,11377,40.737134,-73.92179,402,26,187,4437370,4022940026,Hunters Point-Sunnyside-West Maspeth
04/12/2018,RNY General Presentation (GEN),Library Assistants Day,DC 37,125 Barclay St,Manhattan,10007,40.714181,-74.012845,101,1,21,1001417,1001280026,SoHo-TriBeCa-Civic Center-Little Italy
04/12/2018,RNY Fair (FAIR),Peace & Health Interfaith Breakfast,Co-op City,177 Dreiser Loop,Bronx,10475,40.877935,-73.82953,210,12,46201,2097469,2051410500,Co-op City
04/12/2018,RNY General Presentation (GEN),RNY ESOL Workshop,LaGuardia Community College,31-10 Thomson Ave,Queens,11101,40.744902,-73.935022,402,26,179,4003534,4002780001,Hunters Point-Sunnyside-West Maspeth
04/12/2018,RNY General Presentation (GEN),Ready NY Presentation: Andrew Hieskell City Services Day,Andrew Heiskell Braille and Talking Book Library,40 w 20th Street,Manhattan,10011,40.740246,-73.992324,105,3,54,1076145,1008217501,Hudson Yards-Chelsea-Flatiron-Union Square
04/11/2018,RNY General Presentation (GEN),Kingsborough Community College Access-Ability Services,KBCC,2001 Oriental Blvd. D205,Brooklyn,11235,40.578497,-73.9349,315,48,616,3326937,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
04/11/2018,RNY General Presentation (GEN),CLIP RNY ESOL at NYCEM,NYCEM,165 Cadman Plaza E.,Brooklyn,11201,40.698767,-73.98987,302,33,13,3000172,3000850006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
04/10/2018,RNY General Presentation (GEN),Ready NY for Parents,School Auditorium,500 19th Street,Brooklyn,11215,40.656944,-73.983115,307,38,1502,3017307,3008890001,Windsor Terrace
04/09/2018,RNY for Kids (KIDS),Ready NY for Kids Bilingual Presentation,PS 90,2840 West 12th St.,Brooklyn,11224,40.578255,-73.979628,313,47,350,3196558,3072660040,West Brighton
